name,display_rank,rank,tied
Ilisagvik College,Unranked,-2,FALSE
Indian River State College,Unranked,-2,FALSE
Institute of American Indian Arts,Unranked,-2,FALSE
International College of the Cayman Islands,Unranked,-2,FALSE
Jackson College,Unranked,-2,FALSE
Jamestown Business College,Unranked,-2,FALSE
Jewish Theological Seminary of America,Unranked,-2,FALSE
Juilliard School,Unranked,-2,FALSE
Kansas City Art Institute,Unranked,-2,FALSE
Kettering College,Unranked,-2,FALSE
Laboure College,Unranked,-2,FALSE
Lackawanna College,Unranked,-2,FALSE
Laguna College of Art and Design,Unranked,-2,FALSE
Lake Michigan College,Unranked,-2,FALSE
Lake-Sumter State College,Unranked,-2,FALSE
Lakeview College of Nursing,Unranked,-2,FALSE
Lake Washington Institute of Technology,Unranked,-2,FALSE
Landmark College,Unranked,-2,FALSE
Lebanese American University,Unranked,-2,FALSE
LIM College,Unranked,-2,FALSE
Lincoln University (CA),Unranked,-2,FALSE
Logan University,Unranked,-2,FALSE
Loma Linda University,Unranked,-2,FALSE
Louisiana State University Health Sciences Center,Unranked,-2,FALSE
Maine College of Art,Unranked,-2,FALSE
Manhattan Christian College,Unranked,-2,FALSE
Manhattan School of Music,Unranked,-2,FALSE
Manor College,Unranked,-2,FALSE
Maria College of Albany,Unranked,-2,FALSE
Martin Luther College,Unranked,-2,FALSE
Maryland Institute College of Art,Unranked,-2,FALSE
Massachusetts College of Art and Design,Unranked,-2,FALSE
MCPHS University,Unranked,-2,FALSE
Medical University of South Carolina,Unranked,-2,FALSE
Menlo College,Unranked,-2,FALSE
Mercy College of Health Sciences,Unranked,-2,FALSE
Mercy College of Ohio,Unranked,-2,FALSE
Methodist College,Unranked,-2,FALSE
MGH Institute of Health Professions,Unranked,-2,FALSE
Miami Dade College,Unranked,-2,FALSE
Miami Regional University,Unranked,-2,FALSE
Midland College,Unranked,-2,FALSE
Midwestern Baptist Theological Seminary,Unranked,-2,FALSE
Milwaukee Institute of Art and Design,Unranked,-2,FALSE
Minneapolis College of Art and Design,Unranked,-2,FALSE
MiraCosta College,Unranked,-2,FALSE
Modesto Junior College,Unranked,-2,FALSE
Moody Bible Institute,Unranked,-2,FALSE
Moore College of Art & Design,Unranked,-2,FALSE
Mount Angel Seminary,Unranked,-2,FALSE
Mount Carmel College of Nursing,Unranked,-2,FALSE
Navajo Technical University,Unranked,-2,FALSE
Nebraska Methodist College,Unranked,-2,FALSE
Neumont College of Computer Science,Unranked,-2,FALSE
New England Conservatory of Music,Unranked,-2,FALSE
New England Institute of Technology,Unranked,-2,FALSE
New Orleans Baptist Theological Seminary,Unranked,-2,FALSE
New York School of Interior Design,Unranked,-2,FALSE
Nightingale College,Unranked,-2,FALSE
North Seattle College,Unranked,-2,FALSE
Northwestern Health Sciences University,Unranked,-2,FALSE
Northwestern Michigan College,Unranked,-2,FALSE
Northwest Florida State College,Unranked,-2,FALSE
Northwest Indian College,Unranked,-2,FALSE
Northwood University,Unranked,-2,FALSE
Nueta Hidatsa Sahnish College,Unranked,-2,FALSE
Oak Point University,Unranked,-2,FALSE
Oglala Lakota College,Unranked,-2,FALSE
Oklahoma State University Institute of Technology--Okmulgee,Unranked,-2,FALSE
Oklahoma State University--Oklahoma City,Unranked,-2,FALSE
Olympic College,Unranked,-2,FALSE
Oregon Health and Science University,Unranked,-2,FALSE
Otis College of Art and Design,Unranked,-2,FALSE
Ozark Christian College,Unranked,-2,FALSE
Pacific College,Unranked,-2,FALSE
Pacific Northwest College of Art,Unranked,-2,FALSE
Pacific Oaks College,Unranked,-2,FALSE
Palm Beach State College,Unranked,-2,FALSE
Parker University,Unranked,-2,FALSE
Pasco-Hernando State College,Unranked,-2,FALSE
